train_number,train_name,from_station,to_station,train_type,train_number_str,total_stops,total_distance,running_days,train_category,num_stations,timestamp,origin_avg_delay_min,origin_delay_category
13181,KAZIRANGA EXP,KOAA,GHY,Mail/Express,13181,17.0,1144.0,MON,Express,17,2023-10-15 12:26:36.599,7,On Time
13181,KAZIRANGA EXP,KOAA,GHY,Mail/Express,13181,17.0,1144.0,MON,Express,17,2023-10-15 12:26:36.599,165,High Delay
13181,KAZIRANGA EXP,KOAA,GHY,Mail/Express,13181,17.0,1144.0,MON,Express,17,2023-10-15 12:26:36.599,19,Slight Delay
13181,KAZIRANGA EXP,KOAA,GHY,Mail/Express,13181,17.0,1144.0,MON,Express,17,2023-10-15 12:26:36.599,156,High Delay
13181,KAZIRANGA EXP,KOAA,GHY,Mail/Express,13181,17.0,1144.0,MON,Express,17,2023-10-15 12:26:36.599,134,High Delay
13181,KAZIRANGA EXP,KOAA,GHY,Mail/Express,13181,17.0,1144.0,MON,Express,17,2023-10-15 12:26:36.599,161,High Delay
13181,KAZIRANGA EXP,KOAA,GHY,Mail/Express,13181,17.0,1144.0,MON,Express,17,2023-10-15 12:26:36.599,1,On Time
13181,KAZIRANGA EXP,KOAA,GHY,Mail/Express,13181,17.0,1144.0,MON,Express,17,2023-10-15 12:26:36.599,56,Slight Delay
5640,KOAA SCL SPL,KOAA,GHY,Mail/Express,05640,31.0,1406.0,FRI,Express,29,2023-10-15 13:01:22.802,7,On Time
5640,KOAA SCL SPL,KOAA,GHY,Mail/Express,05640,31.0,1406.0,FRI,Express,29,2023-10-15 13:01:22.802,165,High Delay
5640,KOAA SCL SPL,KOAA,GHY,Mail/Express,05640,31.0,1406.0,FRI,Express,29,2023-10-15 13:01:22.802,19,Slight Delay
5640,KOAA SCL SPL,KOAA,GHY,Mail/Express,05640,31.0,1406.0,FRI,Express,29,2023-10-15 13:01:22.802,156,High Delay
5640,KOAA SCL SPL,KOAA,GHY,Mail/Express,05640,31.0,1406.0,FRI,Express,29,2023-10-15 13:01:22.802,134,High Delay
5640,KOAA SCL SPL,KOAA,GHY,Mail/Express,05640,31.0,1406.0,FRI,Express,29,2023-10-15 13:01:22.802,161,High Delay
5640,KOAA SCL SPL,KOAA,GHY,Mail/Express,05640,31.0,1406.0,FRI,Express,29,2023-10-15 13:01:22.802,1,On Time
5640,KOAA SCL SPL,KOAA,GHY,Mail/Express,05640,31.0,1406.0,FRI,Express,29,2023-10-15 13:01:22.802,56,Slight Delay
2501,KOAA AGTL SPL,KOAA,GHY,Mail/Express,02501,,,,,21,2023-10-15 13:20:48.924,7,On Time
2501,KOAA AGTL SPL,KOAA,GHY,Mail/Express,02501,,,,,21,2023-10-15 13:20:48.924,165,High Delay
2501,KOAA AGTL SPL,KOAA,GHY,Mail/Express,02501,,,,,21,2023-10-15 13:20:48.924,19,Slight Delay
2501,KOAA AGTL SPL,KOAA,GHY,Mail/Express,02501,,,,,21,2023-10-15 13:20:48.924,156,High Delay
2501,KOAA AGTL SPL,KOAA,GHY,Mail/Express,02501,,,,,21,2023-10-15 13:20:48.924,134,High Delay
2501,KOAA AGTL SPL,KOAA,GHY,Mail/Express,02501,,,,,21,2023-10-15 13:20:48.924,161,High Delay
2501,KOAA AGTL SPL,KOAA,GHY,Mail/Express,02501,,,,,21,2023-10-15 13:20:48.924,1,On Time
2501,KOAA AGTL SPL,KOAA,GHY,Mail/Express,02501,,,,,21,2023-10-15 13:20:48.924,56,Slight Delay
2517,KOAA GHY SPL,KOAA,GHY,Superfast,02517,,,,,15,2023-10-15 13:20:55.876,7,On Time
2517,KOAA GHY SPL,KOAA,GHY,Superfast,02517,,,,,15,2023-10-15 13:20:55.876,165,High Delay
2517,KOAA GHY SPL,KOAA,GHY,Superfast,02517,,,,,15,2023-10-15 13:20:55.876,19,Slight Delay
2517,KOAA GHY SPL,KOAA,GHY,Superfast,02517,,,,,15,2023-10-15 13:20:55.876,156,High Delay
2517,KOAA GHY SPL,KOAA,GHY,Superfast,02517,,,,,15,2023-10-15 13:20:55.876,134,High Delay
2517,KOAA GHY SPL,KOAA,GHY,Superfast,02517,,,,,15,2023-10-15 13:20:55.876,161,High Delay
