train_number,train_name,from_station,to_station,train_type,train_number_str
13181,KAZIRANGA EXP,KOAA,GHY,Mail/Express,13181
5640,KOAA SCL SPL,KOAA,GHY,Mail/Express,05640
2501,KOAA AGTL SPL,KOAA,GHY,Mail/Express,02501
2517,KOAA GHY SPL,KOAA,GHY,Superfast,02517
22502,NTSK SMVB EXPRESS,GHY,PER,Superfast,22502
12508,ARONAI EXPRESS,GHY,PER,Superfast,12508
12510,GHY SMVB EXPRESS,GHY,PER,Superfast,12510
12516,SCL CBE EXPRESS,GHY,PER,Superfast,12516
15630,NAGAON EXPRESS,GHY,MS,Mail/Express,15630
12504,AGTL SMVB HUMSAFAR,GHY,PER,Humsafar,12504
15629,NAGAON EXPRESS,MS,GHY,Mail/Express,15629
20501,TEJAS EXPRESS,GHY,ANVT,Tejas,20501
20503,DBRG NDLS RAJEXP,GHY,NDLS,Rajdhani,20503
14037,NDLS S KRANTI EXP,GHY,NDLS,Superfast,14037
14619,TRIPURA SUNDARI EXP,GHY,NDLS,Mail/Express,14619
22449,PORVOTR S KRNTI,GHY,NDLS,Superfast,22449
12423,DBRT NDLS RAJDHANI,GHY,NDLS,Rajdhani,12423
15909,AVADH ASSAM EXP,GHY,DLI,Mail/Express,15909
15910,AVADH ASSAM EXP,DLI,GHY,Mail/Express,15910
20504,NDLS DBRG RJDHN,NDLS,GHY,Rajdhani,20504
12424,DBRT RAJDHANI,NDLS,GHY,Rajdhani,12424
14038,SCL S KRANTI EXP,NDLS,GHY,Superfast,14038
14620,TRIPURA SUNDARI EXP,NDLS,GHY,Mail/Express,14620
22450,PORVOTR S KRNTI,NDLS,GHY,Superfast,22450
15648,GHY LTT EXPRESS,GHY,LTT,Mail/Express,15648
15946,DBRG LTT EXPRESS,GHY,LTT,Mail/Express,15946
12520,KYQ LTT AC EXP,GHY,LTT,Superfast,12520
12519,LTT KYQ AC EXP,LTT,GHY,Superfast,12519
15647,GUWAHATI EXPRES,LTT,GHY,Mail/Express,15647
15945,LTT DBRG EXPRESS,LTT,GHY,Mail/Express,15945
15960,KAMRUP EXPRESS,GHY,HWH,Mail/Express,15960
12346,SARAIGHAT EXP,GHY,HWH,Superfast,12346
5639,SCL KOAA SPECIAL,GHY,KOAA,Mail/Express,05639
13182,KAZIRANGA EXP,GHY,KOAA,Mail/Express,13182
2502,AGTL KOAA SPL,GHY,KOAA,Superfast,02502
2518,GHY KOAA SPECIAL,GHY,KOAA,Superfast,02518
12509,GUWAHATI EXP,PER,GHY,Superfast,12509
12515,CBE SCL EXP,PER,GHY,Superfast,12515
12507,ARONAI EXPRESS,PER,GHY,Superfast,12507
22501,NEW TINSUKIA EXP,PER,GHY,Superfast,22501
12503,AGTL HUMSAFAR,PER,GHY,Humsafar,12503
22512,KARMABHOOMI EXP,KYQ,LTT,Superfast,22512
